Started logging on 2023-09-05 09:23:55.719937
Listening on COM3
Received: X: 64, Y: 512, Button: 1 at 2023-09-05 09:23:57.700940
Received: X: 40, Y: 512, Button: 1 at 2023-09-05 09:23:57.705956
Received: X: 40, Y: 512, Button: 1 at 2023-09-05 09:23:57.709942
Received: X: 40, Y: 512, Button: 1 at 2023-09-05 09:23:57.710943
Received: X: 40, Y: 512, Button: 1 at 2023-09-05 09:23:57.711943
Received: X: 40, Y: 512, Button: 1 at 2023-09-05 09:23:57.712943
Received: X: 40, Y: 512, Button: 1 at 2023-09-05 09:23:57.713944
Received: X: 40, Y: 512, Button: 1 at 2023-09-05 09:23:57.714946
Received: X: 20, Y: 512, Button: 1 at 2023-09-05 09:23:57.716648
Received: X: 20, Y: 512, Button: 1 at 2023-09-05 09:23:57.717945
Received: X: 20, Y: 512, Button: 1 at 2023-09-05 09:23:57.721946
Received: X: 12, Y: 512, Button: 1 at 2023-09-05 09:23:57.725945
Received: X: 12, Y: 512, Button: 1 at 2023-09-05 09:23:57.730452
Received: X: 12, Y: 512, Button: 1 at 2023-09-05 09:23:57.733946
Received: X: 8, Y: 512, Button: 1 at 2023-09-05 09:23:57.738022
Received: X: 8, Y: 512, Button: 1 at 2023-09-05 09:23:57.742045
Received: X: 7, Y: 512, Button: 1 at 2023-09-05 09:23:57.746045
